,Original taxon label,Corresponding Msig
151,Arthrobacter_pityocampae,Arthrobacter_pityocampae
152,Arthrobacter_sp_Leaf234,Arthrobacter_sp_Leaf234
153,Arthrospira_maxima,Arthrospira_maxima
154,Arthrospira_platensis,k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Oscillatoriales|f__Microcoleaceae|g__Arthrospira|s__Arthrospira_platensis
155,Asaccharobacter_celatus,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus
156,Asaia_bogorensis,Asaia_bogorensis
157,Aspergillus_cristatus,k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus|s__Aspergillus_cristatus
158,Aspergillus_glaucus,Aspergillus_glaucus
159,Aspergillus_versicolor,Aspergillus_versicolor
160,Atlantibacter_hermannii,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Atlantibacter|s__Atlantibacter_hermannii
161,Atopobium_deltae,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_deltae
162,Atopobium_minutum,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_minutum
163,Atopobium_parvulum,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum
164,Atopobium_rimae,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae
165,Atopobium_vaginae,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae
166,Aurantimicrobium_sp_MWH_Mo1,Aurantimicrobium_sp_MWH_Mo1
167,Aureimonas_altamirensis,Aureimonas_altamirensis
168,Azospirillum_lipoferum,Azospirillum_lipoferum
169,Bacillus_aerius,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_aerius
170,Bacillus_aryabhattai,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_aryabhattai
171,Bacillus_cereus_group,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus_group
172,Bacillus_clausii,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_clausii
173,Bacillus_coagulans,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_coagulans
174,Bacillus_megaterium,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_megaterium
175,Bacillus_rhizosphaerae,Bacillus_rhizosphaerae
176,Bacillus_sp_FJAT_27916,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_FJAT_27916
177,Bacillus_sp_JCM_19047,Bacillus_sp_JCM_19047
178,Bacillus_thermoamylovorans,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_thermoamylovorans
179,Bacteroidales_bacterium_KA00251,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified|s__Bacteroidales_bacterium_KA00251
