sample_id,ACVD,AS,BPA,CL,IBD,IGT,T2D,CI,HC,FL,ME,SC
SAMD00114842,0,0,0.001,0.0022222222222222222,0.0017499999999999998,0.0038472222222222219,0,0,0.98967094017094026,0,0,0.0015096153846153849
SAMD00114843,0,0,0,0.0002941176470588235,0,0.0014405080213903743,0,0,0.99826537433155071,0,0,0
SAMD00114846,0.0068519926710716187,0,0,0.93723742983882308,0.0019934068124857597,0,0.0051882025138604085,0,0.045403294353565243,0.0033256738101939344,0,0
SAMD00114847,0.002295815295815296,0,0,0.94677056665814385,0.0044994796869796874,0,0.0029126984126984124,0,0.042128421200402624,0.0013930187459599225,0,0
SAMD00114849,0.00045454545454545455,0,0,0.98959668416808499,0,0,0.001746031746031746,0,0.0079086209842788788,0.0002941176470588235,0,0
SAMD00114850,0.0067205851080464072,0.00027777777777777778,0.0038010620915032677,0.056455675551919986,0.028316353288953908,0.018850683660165082,0.021160253975732166,0.0028690034380823852,0.8377888399761495,0.010278553747593996,0.0038970057720057716,0.0095842056120693884
SAMD00114851,0.00045454545454545455,0,0,0.97121014097271829,0,0,0.001746031746031746,0,0.024171787556268979,0.0024174942704354467,0,0
SAMD00114852,0.0053440561631351103,0,0,0.9504673657525825,0.0002631578947368421,0,0.0051882025138604085,0,0.035411543865491231,0.0033256738101939344,0,0
SAMD00114854,0,0,0,0.022630402127112651,0.047611555197468486,0.0054990921960736206,0.0016071428571428569,0,0.91754569926977037,0.0012662337662337664,0.0038398745861981153,0
SAMD00114855,0.00045454545454545455,0,0,0.99125530515236382,0.00022727272727272727,0,0.00047727272727272728,0,0.0049292929292929291,0.00077139037433155084,0.0018849206349206349,0
SAMD00114858,0,0,0.004277076716974415,0.016687912362834959,0.0031191112808759865,0.027763602674938312,0.002266475690893513,0,0.93693636101152222,0.0033920454545454549,0.0011349206349206349,0.0044224941724941734
SAMD00114859,0.00072727272727272723,0,0.0044639154704944175,0.018794170290493815,0.0031488795518207287,0.008510780069603598,0.0044755342481735674,0.0011477732793522268,0.95133614627976104,0.0045644841269841269,0.0012936507936507934,0.0015373931623931625
SAMD00114861,0.0019246031746031744,0,0,0.94383346209603947,0.0027078130203130202,0,0.0011904761904761906,0,0.047801151248132667,0.0025424942704354468,0,0
SAMD00114862,0,0.0021853514132925901,0.00041666666666666664,0.009982741501704348,0.017510918003565062,0.015087773466643434,0.0039886363636363643,0,0.95016124591782469,0,0.00066666666666666664,0
SAMD00114863,0.00045454545454545455,0,0,0.97475916058056156,0,0,0.001746031746031746,0,0.021122767948425842,0.0019174942704354469,0,0
SAMD00114864,0,0,0,0.97631175586109809,0,0,0.00069047619047619057,0,0.020749391325049219,0.0022483766233766232,0,0
SAMD00114865,0,0,0,0.00056250000000000007,0,0,0.00031250000000000001,0,0.99912499999999993,0,0,0
SAMD00114866,0.0014583333333333332,0,0,0.97840304961804336,0.0018990683229813665,0,0.00077777777777777784,0,0.016732870692109821,0.0002941176470588235,0.00043478260869565214,0
SAMD00114868,0.0072686593377382846,0,0,0.9487416200930131,0.0022017401458190931,0,0.0051882025138604085,0,0.034897480722751617,0.0017022971868173109,0,0
SAMD00114870,0.00045454545454545455,0,0,0.98959668416808499,0,0,0.001746031746031746,0,0.0079086209842788788,0.0002941176470588235,0,0
SAMD00114871,0.0019624819624819625,0,0,0.96152922466680224,0.0017302489177489179,0,0.001746031746031746,0,0.031114518436499858,0.0019174942704354469,0,0
SAMD00114873,0,0,0,0.0021666666666666666,0.014880784849825102,0.00027777777777777778,0,0,0.9826747707057305,0,0,0
SAMD00114874,0,0,0,0,0,0,0,0,1,0,0,0
SAMD00114875,0.016343396584495656,0.015285981096439354,0.016846855627947084,0.061230936299967051,0.47164940837439573,0.020726409190224979,0.036660136295918827,0.013217381066645774,0.32714253347311228,0.014474697952210068,0.00093749999999999997,0.0054847640386433494
SAMD00114876,0,0,0.0011309523809523809,0.012123765123765123,0.0076979382332643198,0.0073462668867080626,0,0,0.97062964880388147,0,0.0010714285714285713,0
SAMD00114877,0.016882083774498634,0,0,0.89735033510091544,0.0035076723671924903,0,0.010357033682691578,0,0.070655123342429835,0.0012477517322718563,0,0
SAMD00114879,0.034402820762492327,0.0086240515332620584,0.0089176430939201853,0.40770236424633377,0.02388512814379351,0.0028443979266347687,0.019889388969303833,0.0051778152403152396,0.46118166856344794,0.017650874337482567,0.0077182650458528764,0.0020055821371610847
SAMD00114881,0.00663410127883812,0.0014448836187966625,0.0023794466403162053,0.074887737868488971,0.050094004103350916,0.013748551284382151,0.012246422422270451,0.0010714285714285713,0.82931997303627891,0.0071650478145043354,0.0010084033613445378,0
SAMD00114882,0,0,0,0.0030501253132832079,0.015143942744561942,0.00031250000000000001,0,0,0.98149343194215477,0,0,0
SAMD00114883,0.022171585939000794,0,0,0.86757392605244732,0.0072576723671924914,0,0.0093014781271360206,0,0.090850469662776129,0.0028448678514467985,0,0
SAMD00114884,0.010896327421288723,0.0096133658008658012,0.0019166666666666666,0.03648864671638765,0.37538514877029328,0.013306558207873999,0.010851882465659555,0.014909701086592324,0.3836623991948212,0.14255263700288429,0.00041666666666666664,0
SAMD00114885,0.0048947618139551776,0.0025666455577446289,0.00073232323232323227,0.033022512187600009,0.097675747360841253,0.010679070413590534,0.011754376750700282,0.00093749999999999997,0.82845111575151731,0.0058691186619575361,0.0034168282697694462,0
SAMD00114887,0.0015079365079365078,0,0,0.96278770230027988,0.0017302489177489179,0,0.00069047619047619057,0,0.030741141813123232,0.0025424942704354468,0,0
SAMD00114888,0,0,0,0.00071428571428571429,0.0014936507936507933,0.00027777777777777778,0,0,0.99727619047619054,0,0.0002380952380952381,0
SAMD00114889,0.0002631578947368421,0,0.0013483436853002071,0.0061730243440769753,0.0094666124810861667,0.0089011724386724392,0.0070335693503263156,0,0.95477048851449187,0.0002631578947368421,0.008168028243686138,0.0036124451528863301
SAMD00114890,0,0,0,0.97266843186483287,0,0,0.0014047619047619047,0,0.023384311959969862,0.0025424942704354468,0,0
SAMD00114891,0.00045454545454545455,0,0,0.97552064909204983,0,0,0.0025793650793650789,0,0.020817989393647287,0.00062745098039215688,0,0
SAMD00114892,0.00045454545454545455,0,0,0.97475916058056156,0,0,0.001746031746031746,0,0.021122767948425842,0.0019174942704354469,0,0
SAMD00114893,0,0,0,0.95840989647607278,0.001,0,0.00083333333333333339,0,0.034238191547015073,0.0035362554112554111,0.0019823232323232325,0
SAMD00114895,0,0,0,0,0,0.00050000000000000001,0,0,0.99878571428571439,0,0,0.00071428571428571429
SAMD00114897,0.0014090909090909093,0,0,0.96799860863250975,0.00022727272727272727,0,0.002723304473304473,0,0.024207995221153116,0.0026220397249809013,0.00081168831168831163,0
SAMD00114898,0,0,0,0,0.019096633651006712,0.0021392496392496391,0.0002941176470588235,0,0.9773472884399742,0.00062271062271062271,0,0.00050000000000000001
SAMD00114899,0.0042062466687079695,0.00098214285714285721,0,0.037330869543253431,0.072749255526035658,0.0078767857142857146,0.032932411929315931,0,0.83842041280872481,0.0046037964228753704,0.00035714285714285714,0.00054093567251461982
SAMD00114900,0,0,0,0.011557262182262183,0.0044624819624819621,0.0062400793650793651,0.0013442460317460317,0,0.97512969669219685,0.00045454545454545455,0.00081168831168831163,0
SAMD00114901,0.045929645195705547,0.031423029083321528,0.0010894660894660894,0.025990425867823564,0.0095993867243867256,0.0052874044814834294,0.029873640129668866,0.001882034632034632,0.83042121774816602,0.00085227272727272734,0.012109764647379067,0.0055417126732916202
SAMD00114903,0.0093275551847533267,0.0018715538847117791,0.0079262535709904106,0.32788483796568668,0.046083407132942733,0.0091273436316005978,0.011311476384812297,0.001738562091503268,0.54425043223684511,0.020793649762690006,0.019684928153463621,0
SAMD00114904,0.0019246031746031744,0,0,0.97014673909681659,0.0019385822510822512,0,0.0012460317460317458,0,0.0229158351753166,0.001373663101604278,0.00045454545454545455,0
SAMD00114905,0.0023092185592185591,0,0,0.93832060567141828,0.0042078130203130207,0,0.001217948717948718,0,0.049874141982888108,0.0025424942704354468,0.0015277777777777779,0
SAMD00114906,0,0.00045454545454545455,0.0019814118629908105,0.0099625947882526818,0.02238186468692762,0.0052905466566457275,0.00057565789473684205,0,0.95935337865590053,0,0,0
SAMD00114907,0.0023791486291486288,0,0,0.94886592962850702,0.0027078130203130202,0,0.0022460317460317458,0,0.043506959328940747,0.0002941176470588235,0,0
SAMD00114908,0,0,0,0,0.0045542929292929296,0,0,0,0.99513320707070707,0,0.00031250000000000001,0
SAMD00114909,0.00976231435832829,0.020626174456703467,0.0092328173202786204,0.25506890132870103,0.094750713624704039,0.007413695000651521,0.0166421396393499,0.010769695697431596,0.54509481702134444,0.008732363096140186,0.019097301885421081,0.0028090665709456938
SAMD00114910,0.0066653043593833073,0,0,0.9316943201707133,0.0019934068124857597,0,0.0044897898154477095,0,0.051206505031775915,0.0039506738101939337,0,0
SAMD00114911,0.0074554031494820962,0,0,0.90255088781617399,0.014248929068008015,0,0.0057573417079996025,0,0.065458301244678954,0.004529137013657137,0,0
SAMD00114913,0,0,0.0037840909090909093,0.015717466013518644,0.004896929824561403,0.010880472962709805,0.0009791666666666666,0,0.95500135281385301,0.0060627610693400162,0.0020527597402597397,0.00062500000000000001
SAMD00114914,0.0044500265816055286,0,0,0.94956895160223342,0.0019575216450216453,0,0.0024733044733044728,0,0.039017728165367485,0.0020779220779220779,0.00045454545454545455,0
SAMD00114915,0.00045454545454545455,0,0,0.97397588135978241,0,0,0.001746031746031746,0,0.020639813402971295,0.0023720397249809015,0.00081168831168831163,0
SAMD00114916,0.042682780111185668,0.032665267674362085,0.0041879779577147988,0.067116175430475794,0.030566950363541418,0.00088815789473684211,0.029872577972609927,0.57096878974662002,0.18855072937823306,0.0070122952308307,0.0012590579710144928,0.024229240268675251
SAMD00114919,0.00095454545454545456,0,0,0.97005546925554664,0.00022727272727272727,0,0.0013106060606060605,0,0.020524150471131895,0.0049456327985739745,0.0019823232323232325,0
SAMD00114920,0.00045454545454545455,0,0,0.97475916058056156,0,0,0.001746031746031746,0,0.021122767948425842,0.0019174942704354469,0,0
SAMD00114921,0.0065079544638368169,0,0.00055555555555555556,0.93732788597281613,0.0075069444444444454,0.00055555555555555556,0.0067712148962148968,0,0.037765273726961028,0.0018985042735042733,0.0011111111111111111,0
SAMD00114922,0.0014583333333333332,0,0,0.98466489414606395,0.00063478260869565223,0,0.00047777777777777781,0,0.011535311878374539,0.00079411764705882351,0.00043478260869565214,0
SAMD00114923,0.00045454545454545455,0,0,0.98338939146079241,0,0,0.001746031746031746,0,0.014115913691571584,0.0002941176470588235,0,0
SAMD00114924,0.012758211151593504,0,0.00031250000000000001,0.8857014025705976,0.0073580100455100453,0,0.010011731324231323,0,0.083524811574734167,0.00033333333333333332,0,0
SAMD00114925,0.00045454545454545455,0,0,0.97475916058056156,0,0,0.001746031746031746,0,0.021122767948425842,0.0019174942704354469,0,0
SAMD00114926,0.036040191521846177,0.0028782894736842104,0.01389696668140941,0.5741161219973846,0.0391079462570528,0.001780753968253968,0.041286588507213749,0.0019791666666666664,0.24993702584768837,0.024357436087229796,0.014307012991570136,0.00031250000000000001
SAMD00114928,0.012576367045407291,0.0084922123725125458,0.011694593267929178,0.3255043949307227,0.20964613410960495,0.0037005584284996048,0.038464830296907282,0.013493590380469499,0.33865212653180427,0.032445192678240524,0.0049966666245691007,0.00033333333333333332
SAMD00114929,0.00038461538461538462,0.00071150097465886935,0.00071428571428571429,0.009832535004555127,0.029421746817754016,0.0080689970718995484,0.0018710317460317461,0,0.94531647998239199,0.00097222222222222209,0.0027065850815850816,0
SAMD00114931,0.00045454545454545455,0,0,0.97475916058056156,0,0,0.001746031746031746,0,0.021122767948425842,0.0019174942704354469,0,0
SAMD00114932,0.030277006695002048,0.015397819350412229,0.015668475594752686,0.2677541531534231,0.091465861408972879,0.0078136550340497709,0.015552731820646416,0.10360573709392862,0.41132015828405666,0.020601791461892074,0.00902795511019195,0.011514654992671888
SAMD00114933,0.00033333333333333332,0,0,0.96818815702271577,0.0011111111111111111,0,0.00033333333333333332,0,0.026255459817959827,0.0022508276037687801,0.0015277777777777779,0
SAMD00114937,0,0,0,0.98598715480855592,0,0,0.00069047619047619057,0,0.012403251353909248,0.00091911764705882363,0,0
SAMD00114939,0.00045454545454545455,0,0,0.98518322262962377,0,0,0.001746031746031746,0,0.012322082522740418,0.0002941176470588235,0,0
SAMD00114940,0.013381488093949394,0,0.0071425675932254885,0.51766292027732674,0.029640397443375634,0.0038929995443153344,0.0046542041292041295,0.0085892857142857142,0.39418276360852905,0.011948079405974142,0.0089052941898143129,0
SAMD00114941,0.00483661191749427,0.00045454545454545455,0.0094448103710874625,0.072232663191641497,0.68616485198238275,0.037841423991385292,0.002617324561403509,0.0017288614163614164,0.17142346402737274,0.01275544308632544,0.00050000000000000001,0
SAMD00114942,0,0,0,0,0.0089144119769119772,0.00027777777777777778,0,0,0.99080781024531017,0,0,0
SAMD00114944,0.00045454545454545455,0,0,0.97475916058056156,0,0,0.001746031746031746,0,0.021122767948425842,0.0019174942704354469,0,0
SAMD00114945,0,0.0067501803751803743,0,0.019557040182040183,0.019732167235069712,0.0020654761904761901,0,0,0.95158263601723347,0,0.00031250000000000001,0
SAMD00114948,0.018768392532745072,0.4437095077424108,0.011524600003651695,0.026101739756033734,0.016226607127224641,0.0053852783138773853,0.023199805195851096,0.0093004588785901895,0.41543851638165313,0.0040339169559370797,0.0023310043714455477,0.023980172740579588
SAMD00114949,0.0091907915141274266,0.0038585987026389496,0.015838056951909756,0.026089158755760931,0.50872472846080496,0.0018455613014436544,0.014032002998721265,0.00050000000000000001,0.40080453886946998,0.014456662919124216,0.0029979321074522312,0.0016619674185463658
SAMD00114950,0,0,0,0,0.0093694869157330447,0.00090277777777777774,0,0,0.98807327865203254,0.0016544566544566543,0,0
SAMD00114951,0.0081317393691619673,0.019518802140935008,0.0089316201247265307,0.19541632221557184,0.041536189906958169,0.029459781825949879,0.014011582753257272,0.0059840799465412462,0.65472994282623942,0.012816232005009098,0.0027101925851925851,0.0067535143004570242
SAMD00114952,0.0083194734187381266,0.00071428571428571429,0.0013809523809523807,0.30530869835545771,0.033557576617830341,0.0034993591934381406,0.0025831244778613195,0.00038461538461538462,0.62392985888940944,0.018912964658320697,0.0014090909090909093,0
SAMD00114953,0,0,0,0,0.00055555555555555556,0.00055555555555555556,0,0,0.99888888888888883,0,0,0
SAMD00114955,0.00045454545454545455,0,0,0.97475916058056156,0,0,0.001746031746031746,0,0.021122767948425842,0.0019174942704354469,0,0
SAMD00114956,0.0085824226169427392,0.019321300516574109,0.016874392675196963,0.038159583086593771,0.13827711249660532,0.10779333848910846,0.019774243070834138,0.0058634062511350839,0.56348562875792974,0.051276356749807059,0.027727050705572374,0.0028651645837000526
SAMD00114958,0,0,0,0.98175302782442886,0,0,0.0012460317460317458,0,0.01608182278248068,0.00091911764705882363,0,0
SAMD00114960,0.0053440561631351103,0,0,0.9504673657525825,0.0002631578947368421,0,0.0051882025138604085,0,0.035411543865491231,0.0033256738101939344,0,0
SAMD00114961,0.0055577380136203666,0,0,0.94295842210335235,0.0048402777777777775,0,0.0066045482295482294,0,0.039705680542367852,0.00033333333333333332,0,0
SAMD00114962,0.0028985042735042731,0,0,0.96008693267516787,0.0048402777777777775,0,0.0032596153846153847,0,0.026696415920680634,0.00033333333333333332,0.0018849206349206349,0
SAMD00114963,0,0.0012032085561497325,0,0.0065765237514463512,0.00084967320261437917,0.018507332493787599,0,0,0.97286326199600193,0,0,0
SAMD00114964,0.0015079365079365078,0,0,0.96713812091929097,0.0021650315264445698,0,0.00027777777777777778,0,0.026558856389419048,0.0019174942704354469,0.00043478260869565214,0
SAMD00114966,0.00045454545454545455,0,0,0.97475916058056156,0,0,0.001746031746031746,0,0.021122767948425842,0.0019174942704354469,0,0
SAMD00114968,0.0029174436674436676,0.019172323871780392,0.00055072463768115944,0.026721038003888989,0.014694634235733308,0.011686419492959741,0.013041916757581722,0,0.90868366808256384,0.0023144399460188932,0.00021739130434782607,0
SAMD00114971,0.028534019987580345,0,0,0.82450297494473135,0.010200953866395045,0,0.014898445702044773,0,0.11542405771043537,0.0029662114845938376,0.0034733363042186573,0
SAMD00114972,0.00095454545454545456,0,0,0.98396762572652663,0.00022727272727272727,0,0.0013106060606060605,0,0.0095768208399787339,0.001623663101604278,0.0023394660894660896,0
SAMD00114976,0,0,0,0,0,0,0,0,1,0,0,0
