sample_id,ACVD,AS,BloodPressureAbnormalities,ColorectalLesions,IBD,IGT,T2D,cirrhosis,control,fatty_liver,melanoma,schizophrenia
SAMD00164904,0,0,0,0.17999999999999999,0.20000000000000001,0.01,0.050000000000000003,0.01,0.90000000000000002,0,0,0
SAMD00164909,0.01,0.080000000000000002,0,0.39000000000000001,0.01,0.02,0,0,0.79000000000000004,0.01,0,0.01
SAMD00164910,0,0.02,0.029999999999999999,1,0,0,0,0,0.10000000000000001,0,0,0
SAMD00164913,0,0,0,0.98999999999999999,0,0,0,0,0.050000000000000003,0,0,0
SAMD00164915,0.01,0,0,0.01,0.029999999999999999,0,0.070000000000000007,0,0.85999999999999999,0,0,0
SAMD00164916,0.01,0,0,0.19,0.02,0.040000000000000001,0,0.040000000000000001,0.84999999999999998,0,0,0.01
SAMD00164917,0,0,0.040000000000000001,0.089999999999999997,0.050000000000000003,0,0.01,0.059999999999999998,0.92000000000000004,0.029999999999999999,0,0
SAMD00164918,0,0,0.059999999999999998,0.11,0.23999999999999999,0,0,0,0.92000000000000004,0.02,0,0
SAMD00164921,0,0.01,0,0.97999999999999998,0,0,0,0.02,0.02,0,0,0
SAMD00164922,0.01,0,0,0.98999999999999999,0.02,0.050000000000000003,0,0,0.20999999999999999,0,0,0
SAMD00164923,0.01,0,0,0.34000000000000002,0,0,0,0.13,0.12,0,0,0
SAMD00164924,0,0,0,0.98999999999999999,0,0,0,0,0.029999999999999999,0,0,0
SAMD00164925,0.01,0,0,0.69999999999999996,0.040000000000000001,0.01,0.01,0.040000000000000001,0.80000000000000004,0.10000000000000001,0,0
SAMD00164926,0.01,0,0.050000000000000003,0.089999999999999997,0.02,0.029999999999999999,0.01,0.10000000000000001,0.34000000000000002,0.089999999999999997,0,0.01
SAMD00164927,0,0,0,0.080000000000000002,0,0,0,0.01,0.79000000000000004,0,0,0
SAMD00164928,0,0.01,0.01,0.45000000000000001,0.38,0.059999999999999998,0.14999999999999999,0,0.46999999999999997,0,0,0
SAMD00164930,0.029999999999999999,0,0.029999999999999999,0.46000000000000002,0.10000000000000001,0,0.089999999999999997,0,0.59999999999999998,0,0,0
SAMD00164931,0,0,0,0.31,0,0.20000000000000001,0,0,1,0,0,0
SAMD00164933,0,0.01,0,0,0.12,0,0,0,0.89000000000000001,0,0,0
SAMD00164934,0,0,0.02,0.070000000000000007,0.050000000000000003,0,0.02,0.02,0.70999999999999996,0.01,0,0
SAMD00164935,0.01,0,0,0.14999999999999999,0.080000000000000002,0.01,0.02,0,0.78000000000000003,0,0,0
SAMD00164936,0,0,0,0.14999999999999999,0,0.01,0,0,0.89000000000000001,0.01,0,0.029999999999999999
SAMD00164937,0.01,0,0,0.81999999999999995,0,0.01,0.10000000000000001,0.01,0.68999999999999995,0.01,0,0
SAMD00164938,0,0,0.01,0.02,0.01,0.040000000000000001,0.01,0,0.77000000000000002,0,0,0
SAMD00164940,0,0,0,1,0,0,0,0,0.089999999999999997,0,0,0
SAMD00164941,0.02,0,0,0.40000000000000002,0.01,0,0,0.20999999999999999,0.54000000000000004,0,0,0
SAMD00164942,0,0,0,1,0,0,0,0,0,0.01,0,0
SAMD00164943,0,0.029999999999999999,0,0.089999999999999997,0.62,0,0,0,0.20999999999999999,0,0,0
SAMD00164944,0,0.01,0,0.97999999999999998,0.02,0,0,0,0.20000000000000001,0.01,0,0
SAMD00164945,0,0,0.01,0.96999999999999997,0.080000000000000002,0,0.02,0,0.10000000000000001,0,0,0
SAMD00164947,0.01,0,0,0.17000000000000001,0.22,0,0,0,0.93999999999999995,0.01,0,0
SAMD00164949,0,0,0,0.10000000000000001,0.089999999999999997,0.02,0.029999999999999999,0,0.82999999999999996,0.01,0,0
SAMD00164951,0,0,0.02,0.17000000000000001,0.26000000000000001,0,0,0,0.94999999999999996,0.02,0,0
SAMD00164952,0,0,0,0.11,0.02,0,0.02,0,0.95999999999999996,0.01,0,0
SAMD00164956,0.050000000000000003,0.029999999999999999,0,0.22,0.13,0,0.01,0,0.91000000000000003,0,0,0
SAMD00164957,0.01,0.01,0.029999999999999999,0.16,0.12,0,0,0,0.84999999999999998,0.029999999999999999,0,0
SAMD00164960,0.01,0,0,0.23999999999999999,0.12,0.01,0.029999999999999999,0,0.95999999999999996,0,0,0
SAMD00164963,0,0,0.01,0.029999999999999999,0.22,0,0,0,0.78000000000000003,0.01,0,0
SAMD00164965,0,0,0.01,0.13,0.25,0.20000000000000001,0,0.01,0.10000000000000001,0,0,0
SAMD00164966,0.01,0,0,0.070000000000000007,0.19,0.10000000000000001,0.01,0,0.67000000000000004,0.059999999999999998,0.029999999999999999,0
SAMD00164968,0,0,0,1,0.050000000000000003,0.01,0,0,0.17000000000000001,0.02,0,0
SAMD00164969,0,0.029999999999999999,0,0.10000000000000001,0.13,0.050000000000000003,0,0,0.81999999999999995,0.050000000000000003,0,0
SAMD00164970,0.050000000000000003,0,0.050000000000000003,0.5,0.32000000000000001,0.040000000000000001,0.080000000000000002,0,0.28000000000000003,0,0,0
SAMD00164971,0,0,0,0.42999999999999999,0.17000000000000001,0.12,0,0,0.67000000000000004,0.02,0,0
SAMD00164973,0.01,0,0,0.029999999999999999,0.26000000000000001,0.17000000000000001,0,0.01,0.79000000000000004,0,0,0
SAMD00164974,0.12,0.02,0.01,0.34000000000000002,0.02,0,0,0.01,0.40000000000000002,0.01,0.059999999999999998,0
SAMD00164976,0,0,0,1,0.01,0,0,0,0.089999999999999997,0,0,0
SAMD00164977,0,0,0,0.98999999999999999,0.029999999999999999,0,0,0,0.14999999999999999,0,0,0
SAMD00164978,0.01,0,0,1,0.10000000000000001,0.02,0,0,0.14999999999999999,0,0,0
SAMD00164979,0,0,0,0.47999999999999998,0.029999999999999999,0.02,0.029999999999999999,0.040000000000000001,0.39000000000000001,0.02,0,0
SAMD00164981,0.040000000000000001,0,0.02,1,0,0,0.01,0,0.040000000000000001,0,0,0
SAMD00164983,0,0,0,0.059999999999999998,0.059999999999999998,0,0.040000000000000001,0.01,0.85999999999999999,0.01,0,0
SAMD00164985,0,0,0,1,0,0,0,0,0.029999999999999999,0,0,0
SAMD00164986,0.01,0,0.01,0.11,0.02,0,0,0,0.81999999999999995,0,0,0
SAMD00164987,0,0,0,0.98999999999999999,0,0,0,0,0.089999999999999997,0,0,0
