sample_id,ACVD,AS,BPA,CL,IBD,IGT,T2D,CI,HC,FL,ME,SC
sample30,0.51000000000000001,0,0,0.26000000000000001,0.080000000000000002,0.02,0.050000000000000003,0.02,0.19,0,0.01,0
sample31,0,0,0.01,0,0.20999999999999999,1,0,0,0.17000000000000001,0,0,0
sample32,0.01,0,0.01,0.98999999999999999,0.059999999999999998,0,0.01,0,0.11,0.01,0,0
sample33,0,0,0.01,0,0.78000000000000003,0.029999999999999999,0,0,0.37,0,0,0
sample34,0,0.059999999999999998,0.16,0.029999999999999999,0.01,0,0,0,0.55000000000000004,0,0,0.90000000000000002
sample35,0,0,0.02,0.02,0.85999999999999999,0.01,0,0,0.37,0,0,0
sample36,0.040000000000000001,0.040000000000000001,0.94999999999999996,0.089999999999999997,0.34999999999999998,0,0.070000000000000007,0,0.31,0,0,0.029999999999999999
sample37,0,0,0,0.01,0.44,0,0.040000000000000001,0,0.88,0.01,0,0
sample38,0.39000000000000001,0,0,0.10000000000000001,0.10000000000000001,0,0,0,0.11,0.050000000000000003,0.070000000000000007,0.01
sample39,0,0.13,0.71999999999999997,0.01,0.029999999999999999,0,0,0,0.37,0,0,0
sample40,0.040000000000000001,0.02,0,0.11,0,0.050000000000000003,0,0.65000000000000002,0.34000000000000002,0,0,0
sample41,0.11,0,0.01,0.040000000000000001,0.02,0,0.070000000000000007,0.51000000000000001,0.12,0,0,0.02
sample42,0.01,0,0.34000000000000002,0.01,0.01,0,0.02,0,0.20999999999999999,0,0,0.01
sample43,0.070000000000000007,0.02,0,0.040000000000000001,0,0.029999999999999999,0.02,0,0.059999999999999998,0,0,0.48999999999999999
sample44,0.02,0,0,0.63,0.20999999999999999,0.050000000000000003,0.029999999999999999,0.02,0.55000000000000004,0.02,0.01,0
sample45,0,0,0,0,0,1,0,0,0.22,0,0,0
sample46,0.37,0,0.02,0.19,0.11,0,0,0,0.38,0,0,0
sample47,0.080000000000000002,0,0.029999999999999999,0.95999999999999996,0.25,0,0.12,0.050000000000000003,0.17999999999999999,0,0,0
sample48,0.91000000000000003,0,0.040000000000000001,0.10000000000000001,0.040000000000000001,0.01,0.040000000000000001,0.040000000000000001,0.26000000000000001,0,0.029999999999999999,0
sample49,0.29999999999999999,0,0,0.12,0.01,0,0.02,0.78000000000000003,0.28000000000000003,0,0.01,0
sample50,0.01,0,0,0.040000000000000001,0.20999999999999999,0.040000000000000001,0,0,0.10000000000000001,0.56999999999999995,0,0
sample51,0.029999999999999999,0,0,0.68000000000000005,0.029999999999999999,0,0.01,0.02,0.26000000000000001,0.02,0,0
sample52,0.01,0,0,0.37,0.93000000000000005,0.029999999999999999,0,0,0.40999999999999998,0.01,0.01,0.01
sample53,0,0,0.01,0.17999999999999999,0.76000000000000001,0.01,0.040000000000000001,0,0.29999999999999999,0,0,0
sample54,0,0,0,0.02,0.070000000000000007,0.97999999999999998,0,0,0.059999999999999998,0,0,0
sample55,0.01,0,0,0.01,0.01,0,0,0.81999999999999995,0.40000000000000002,0,0,0
sample56,0.01,0,0.01,0.68999999999999995,0.050000000000000003,0,0,0.01,0.39000000000000001,0,0,0
sample57,0,0.01,0,0,0.91000000000000003,0.02,0,0.02,0.51000000000000001,0.01,0,0
sample58,0.01,0.20999999999999999,0.12,0.20000000000000001,0.67000000000000004,0,0,0,0.54000000000000004,0,0,0
sample59,0,0.01,0,0.12,0.059999999999999998,0,0,0,0.31,0.20999999999999999,0,0
sample60,0.040000000000000001,0,0,0.02,0.01,0,0.059999999999999998,0.89000000000000001,0.27000000000000002,0,0,0
sample61,0.02,0.01,0.029999999999999999,0,0.02,0,0.070000000000000007,0.57999999999999996,0.23999999999999999,0,0,0
sample62,0,0,0.02,0,0.68000000000000005,0,0.02,0,0.29999999999999999,0,0,0
sample63,0.070000000000000007,0,0,0.050000000000000003,0,0,0,0.64000000000000001,0.16,0,0,0.66000000000000003
sample64,0.050000000000000003,0,0,0.77000000000000002,0.029999999999999999,0,0.02,0.01,0.33000000000000002,0,0.059999999999999998,0
sample65,0.01,0.01,0.35999999999999999,0.089999999999999997,0.02,0,0.050000000000000003,0,0.35999999999999999,0,0.01,0
sample66,0,0,0,0.16,0.46999999999999997,0.01,0.040000000000000001,0.050000000000000003,0.29999999999999999,0,0,0
sample67,0,0,0,0.14999999999999999,0.96999999999999997,0,0.02,0,0.089999999999999997,0,0,0
sample68,0,0,0,0.040000000000000001,0,0,0.01,0,0.93999999999999995,0,0.029999999999999999,0
sample69,0,0,0.01,0,0.12,0.01,0,0,0.93999999999999995,0,0.02,0
sample70,0,0,0,0,0.67000000000000004,0.029999999999999999,0.029999999999999999,0.029999999999999999,0.75,0.01,0.029999999999999999,0
sample71,0,0,0.02,0,0.17999999999999999,0.97999999999999998,0,0,0.34999999999999998,0.01,0,0
sample72,0.14999999999999999,0.059999999999999998,0,0.080000000000000002,0.14000000000000001,0,0.02,0.35999999999999999,0.31,0,0,0
sample73,0,0,0,0.040000000000000001,0.52000000000000002,0.029999999999999999,0.01,0,0.92000000000000004,0.02,0,0
sample74,0.02,0,0,0.029999999999999999,0.93999999999999995,0,0.070000000000000007,0,0.37,0,0.02,0
sample75,0.01,0,0.029999999999999999,1,0.23999999999999999,0.10000000000000001,0.029999999999999999,0,0.38,0,0,0
sample76,0.87,0,0.029999999999999999,0.34999999999999998,0.13,0.02,0,0.11,0.17999999999999999,0,0,0
sample77,0.029999999999999999,0.81000000000000005,0.050000000000000003,0.38,0.01,0,0,0,0.63,0,0,0.050000000000000003
