sample_id,ACVD,AS,BloodPressureAbnormalities,ColorectalLesions,IBD,IGT,T2D,cirrhosis,control,fatty_liver,melanoma,schizophrenia
SRR14610671,0.02,0.02,0.35999999999999999,0.28000000000000003,0.35999999999999999,0.089999999999999997,0.080000000000000002,0,0.56999999999999995,0.059999999999999998,0,0
SRR14610617,0.029999999999999999,0,0.01,0.29999999999999999,0.32000000000000001,0,0,0,0.69999999999999996,0,0,0
SRR14610569,0.080000000000000002,0,0.040000000000000001,0.17000000000000001,0,0,0,0.14000000000000001,0.44,0.01,0,0
SRR14610686,0.040000000000000001,0.02,0.16,0.16,0.42999999999999999,0,0.059999999999999998,0.01,0.23000000000000001,0.070000000000000007,0.01,0
SRR14610587,0.17999999999999999,0.02,0.02,0.53000000000000003,0.10000000000000001,0,0,0.34999999999999998,0.65000000000000002,0.059999999999999998,0.02,0.01
SRR14610578,0.02,0,0.029999999999999999,0.33000000000000002,0.029999999999999999,0.16,0.69999999999999996,0,0.39000000000000001,0,0,0
SRR14610606,0.089999999999999997,0,0.23000000000000001,0.11,0.17000000000000001,0,0.11,0,0.46999999999999997,0.17999999999999999,0,0
SRR14610570,0.01,0.17000000000000001,0.17999999999999999,0.029999999999999999,0.56999999999999995,0.089999999999999997,0.080000000000000002,0.070000000000000007,0.44,0,0,0
SRR14610615,0.11,0.01,0.76000000000000001,0.16,0.050000000000000003,0,0,0,0.29999999999999999,0.029999999999999999,0,0
SRR14610633,0.12,0,0.38,0.17999999999999999,0.19,0,0,0,0.20000000000000001,0.040000000000000001,0,0
SRR14610611,0.089999999999999997,0,0.17000000000000001,0.12,0.050000000000000003,0.059999999999999998,0,0.02,0.68000000000000005,0,0.029999999999999999,0.01
SRR14610682,0.16,0,0.38,0.20000000000000001,0.28000000000000003,0,0.19,0,0.47999999999999998,0.34999999999999998,0.029999999999999999,0
SRR14610628,0.14000000000000001,0,0.17999999999999999,0.44,0.28999999999999998,0.029999999999999999,0.02,0,0.28000000000000003,0.070000000000000007,0,0
SRR14610664,0.12,0.01,0.53000000000000003,0.48999999999999999,0.02,0,0.16,0.029999999999999999,0.45000000000000001,0.01,0,0
SRR14610691,0.41999999999999998,0,0.17000000000000001,0.23000000000000001,0.40000000000000002,0,0.45000000000000001,0.059999999999999998,0.57999999999999996,0,0,0
SRR14610619,0.01,0.070000000000000007,0,0.10000000000000001,0.29999999999999999,0.029999999999999999,0.059999999999999998,0.01,0.55000000000000004,0,0.56000000000000005,0
SRR14610574,0.01,0,0.059999999999999998,0.34999999999999998,0.02,0,0.059999999999999998,0,0.77000000000000002,0.02,0.01,0
SRR14610673,0.059999999999999998,0,0.23999999999999999,0.080000000000000002,0.02,0.01,0.059999999999999998,0.14000000000000001,0.47999999999999998,0.02,0.02,0.029999999999999999
SRR14610719,0.070000000000000007,0.050000000000000003,0.059999999999999998,0.20000000000000001,0.57999999999999996,0.89000000000000001,0,0.02,0.39000000000000001,0.029999999999999999,0,0
SRR14610647,0.080000000000000002,0,0.050000000000000003,0.81999999999999995,0.070000000000000007,0,0.059999999999999998,0.029999999999999999,0.38,0,0,0
SRR14610728,0.23000000000000001,0.01,0.19,0.71999999999999997,0.11,0,0.48999999999999999,0.050000000000000003,0.35999999999999999,0,0,0
SRR14610711,0.12,0,0.14000000000000001,0.85999999999999999,0.34999999999999998,0,0.41999999999999998,0.050000000000000003,0.55000000000000004,0.029999999999999999,0.050000000000000003,0
SRR14610702,0.20999999999999999,0.040000000000000001,0.13,0.47999999999999998,0,0,0.20999999999999999,0.01,0.40000000000000002,0.01,0,0.02
SRR14610720,0.02,0.01,0.029999999999999999,0.53000000000000003,0.16,0.01,0.34999999999999998,0,0.31,0.059999999999999998,0.01,0
SRR14610579,0.070000000000000007,0,0.029999999999999999,0.77000000000000002,0.040000000000000001,0,0.14000000000000001,0,0.68000000000000005,0.050000000000000003,0.02,0.01
SRR14610678,0.080000000000000002,0,0.17000000000000001,0.46999999999999997,0,0.02,0.25,0,0.54000000000000004,0.13,0,0.02
SRR14610652,0.10000000000000001,0,0.01,0.080000000000000002,0.77000000000000002,0.02,0.10000000000000001,0.01,0.31,0,0,0
SRR14610733,0.089999999999999997,0,0,0.60999999999999999,0.32000000000000001,0.01,0.070000000000000007,0.17999999999999999,0.29999999999999999,0,0,0
SRR14610715,0.19,0,0.37,0.71999999999999997,0.10000000000000001,0.070000000000000007,0.14000000000000001,0,0.34000000000000002,0.22,0.02,0
SRR14610706,0,0,0.02,0.44,0.40999999999999998,0,0.46999999999999997,0.02,0.47999999999999998,0,0,0
SRR14610724,0.29999999999999999,0.01,0.080000000000000002,0.71999999999999997,0,0,0.089999999999999997,0.02,0.47999999999999998,0,0,0
SRR14610643,0.12,0,0.31,0.45000000000000001,0.25,0.01,0.28000000000000003,0.23999999999999999,0.47999999999999998,0,0,0
SRR14610595,0.20999999999999999,0.070000000000000007,0,0.72999999999999998,0.14000000000000001,0,0.089999999999999997,0.029999999999999999,0.55000000000000004,0.01,0,0.12
SRR14610658,0.050000000000000003,0,0.20000000000000001,0.71999999999999997,0.12,0.01,0.13,0.01,0.63,0.10000000000000001,0.059999999999999998,0
SRR14610713,0.01,0,0.01,0.35999999999999999,0.29999999999999999,0.17000000000000001,0,0.34000000000000002,0.19,0,0,0
SRR14610650,0.050000000000000003,0,0.080000000000000002,0.44,0.10000000000000001,0,0.080000000000000002,0,0.44,0,0.01,0
SRR14610641,0.059999999999999998,0.029999999999999999,0.27000000000000002,0.66000000000000003,0.14000000000000001,0,0.080000000000000002,0,0.59999999999999998,0,0,0.01
SRR14610601,0.32000000000000001,0,0.20999999999999999,0.080000000000000002,0.72999999999999998,0.13,0.11,0,0.19,0,0,0
SRR14610700,0.070000000000000007,0.080000000000000002,0.5,0.60999999999999999,0.070000000000000007,0,0.22,0,0.81000000000000005,0,0,0
SRR14610689,0.17000000000000001,0.01,0.02,0.82999999999999996,0.20000000000000001,0.02,0.25,0,0.34000000000000002,0,0,0
SRR14610636,0.080000000000000002,0.029999999999999999,0.27000000000000002,0.75,0.17999999999999999,0.02,0.17999999999999999,0.01,0.53000000000000003,0,0.02,0
SRR14610654,0.40000000000000002,0.16,0.10000000000000001,0.73999999999999999,0.01,0.059999999999999998,0.029999999999999999,0.19,0.5,0.059999999999999998,0,0.080000000000000002
SRR14610645,0.050000000000000003,0.01,0.040000000000000001,0.63,0.38,0.02,0,0,0.26000000000000001,0,0,0.01
SRR14610708,0.12,0,0.029999999999999999,0.82999999999999996,0.11,0,0.01,0.070000000000000007,0.31,0.050000000000000003,0,0.040000000000000001
SRR14610666,0,0,0.23000000000000001,0.69999999999999996,0.13,0.01,0.23999999999999999,0,0.38,0,0,0
SRR14610729,0.25,0,0.17000000000000001,0.13,0.42999999999999999,0.01,0.25,0.02,0.62,0,0,0
SRR14610657,0.050000000000000003,0,0.050000000000000003,0.26000000000000001,0.02,0.029999999999999999,0.080000000000000002,0,0.45000000000000001,0,0,0
SRR14610703,0.11,0.02,0.02,0.02,0.28000000000000003,0.01,0.63,0.029999999999999999,0.46000000000000002,0.01,0,0
SRR14610640,0.27000000000000002,0.01,0.33000000000000002,0.39000000000000001,0,0,0.040000000000000001,0.12,0.47999999999999998,0,0,0
SRR14610721,0.029999999999999999,0,0.02,0.56999999999999995,0.080000000000000002,0,0,0,0.75,0,0.02,0
SRR14610712,0.34000000000000002,0,0.089999999999999997,0.85999999999999999,0.12,0,0.080000000000000002,0.14000000000000001,0.19,0.02,0.050000000000000003,0
SRR14610613,0.050000000000000003,0,0.070000000000000007,0.40000000000000002,0.050000000000000003,0.01,0.050000000000000003,0.01,0.34999999999999998,0.02,0,0.01
SRR14610600,0.02,0.059999999999999998,0.01,0.68000000000000005,0.10000000000000001,0.02,0.14000000000000001,0.029999999999999999,0.41999999999999998,0,0.01,0.02
SRR14610598,0.02,0.01,0.28000000000000003,0.12,0.17999999999999999,0,0.14000000000000001,0,0.72999999999999998,0.17000000000000001,0,0
SRR14610707,0.11,0.02,0.33000000000000002,0.13,0.33000000000000002,0,0.26000000000000001,0.050000000000000003,0.46000000000000002,0.040000000000000001,0,0
SRR14610725,0.16,0,0,0.39000000000000001,0.01,0,0.059999999999999998,0.02,0.55000000000000004,0,0,0
SRR14610644,0.050000000000000003,0.02,0.14999999999999999,0.70999999999999996,0,0,0.02,0.10000000000000001,0.20999999999999999,0.01,0,0.02
SRR14610635,0.27000000000000002,0.059999999999999998,0.10000000000000001,0.67000000000000004,0.01,0.059999999999999998,0.080000000000000002,0,0.52000000000000002,0.01,0,0
SRR14610734,0.050000000000000003,0.029999999999999999,0.050000000000000003,0.089999999999999997,0.25,0.23999999999999999,0.31,0.040000000000000001,0.45000000000000001,0,0,0
SRR14610659,0.029999999999999999,0,0.040000000000000001,0.33000000000000002,0.56000000000000005,0,0,0,0.13,0,0,0
SRR14610596,0.13,0,0.5,0.51000000000000001,0.16,0.059999999999999998,0.17999999999999999,0,0.53000000000000003,0.13,0,0
SRR14610642,0.20999999999999999,0,0.20000000000000001,0.75,0.02,0,0.050000000000000003,0.050000000000000003,0.28999999999999998,0,0,0.10000000000000001
SRR14610723,0.19,0.029999999999999999,0.040000000000000001,0.76000000000000001,0.080000000000000002,0,0.059999999999999998,0.01,0.23000000000000001,0.050000000000000003,0,0
SRR14610705,0,0.20000000000000001,0.26000000000000001,0.02,0.56999999999999995,0.10000000000000001,0.050000000000000003,0.080000000000000002,0.47999999999999998,0,0,0
SRR14610651,0.22,0.01,0.13,0.84999999999999998,0.080000000000000002,0,0,0.01,0.080000000000000002,0,0,0
SRR14610714,0.16,0,0,0.23999999999999999,0.11,0.02,0.14999999999999999,0.040000000000000001,0.69999999999999996,0,0.029999999999999999,0
SRR14610602,0.23000000000000001,0,0.22,0.79000000000000004,0.029999999999999999,0.059999999999999998,0.040000000000000001,0.01,0.59999999999999998,0.20999999999999999,0,0
SRR14610701,0.17000000000000001,0,0.13,0.39000000000000001,0.25,0.029999999999999999,0.01,0.02,0.54000000000000004,0.089999999999999997,0.050000000000000003,0
SRR14610710,0.01,0.050000000000000003,0.01,0.40999999999999998,0.37,0,0.089999999999999997,0.01,0.55000000000000004,0,0,0.059999999999999998
SRR14610727,0.34000000000000002,0.029999999999999999,0,0.52000000000000002,0.080000000000000002,0.02,0.040000000000000001,0.02,0.40999999999999998,0.02,0.01,0
